,,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전체,,8.7,8.7,9.3,8.6,8.2,7.3,7.4,7.6,7.3,8.3,9.4,9.5,10.8,12.9,13.2,18.6,15.1,13.7,14.6,18.0,22.7,23.9,24.8,22.0,24.9,26.0,31.0,31.2,31.7,28.1,28.5,27.3,26.5,25.6,24.3,26.6,26.9,25.7,26.0
성,남자,12.7,12.5,13.5,12.8,11.9,10.4,10.3,10.5,10.1,11.5,12.9,12.8,14.7,17.7,18.1,26.7,21.1,19.0,20.3,24.7,31.2,32.6,33.1,29.7,31.6,33.4,39.9,41.4,43.3,38.2,39.8,38.4,37.5,36.2,34.9,38.5,38.0,35.5,35.9
,여자,4.6,4.7,5.1,4.5,4.5,4.1,4.4,4.7,4.5,5.0,5.8,6.1,6.8,8.1,8.2,10.4,9.1,8.4,8.7,11.2,14.1,15.0,16.6,14.2,18.2,18.7,22.1,21.0,20.1,18.0,17.3,16.1,15.5,15.0,13.8,14.8,15.8,15.9,16.2
연령집단,10-19세,3.8,3.9,4.3,4.0,3.4,3.9,3.6,3.8,3.4,4.2,4.2,3.9,4.5,6.5,5.0,6.4,5.2,3.8,3.4,3.5,4.5,3.8,4.3,3.5,4.6,4.6,6.5,5.2,5.5,5.1,4.9,4.5,4.2,4.9,4.7,5.8,5.9,6.5,7.1
,20-29세,15.3,13.7,14.7,13.2,12.4,10.7,10.5,10.4,9.8,10.0,10.8,10.4,12.6,14.4,14.0,17.6,13.3,11.2,11.2,12.6,15.3,14.1,17.9,14.0,21.3,22.6,25.3,24.4,24.3,19.5,18.0,17.8,16.4,16.4,16.4,17.6,19.2,21.7,23.5
,30-39세,10.7,10.7,11.6,11.2,11.1,9.7,9.9,10.0,9.7,11.1,11.9,12.4,12.8,15.3,16.3,21.8,17.5,15.2,15.5,18.6,22.0,20.7,21.8,17.0,22.5,24.7,31.4,29.6,30.5,27.3,28.4,27.9,25.1,24.6,24.5,27.5,26.9,27.1,27.3
,40-49세,13.1,13.9,14.7,13.0,12.1,10.0,10.5,10.1,9.6,11.0,13.1,12.3,14.8,17.2,18.0,27.8,21.5,19.1,18.5,22.6,28.2,29.6,28.4,25.0,26.5,28.4,32.8,34.1,34.0,30.9,32.7,32.4,29.9,29.6,27.9,31.5,31.0,29.2,28.2
,50-59세,15.2,13.8,14.5,13.6,12.2,9.8,10.0,11.0,9.9,12.1,14.4,14.7,16.7,18.5,19.6,30.4,23.3,22.3,23.9,28.3,34.9,38.2,34.7,33.6,31.3,32.9,41.1,40.1,41.2,35.3,38.1,36.4,34.3,32.5,30.8,33.4,33.3,30.5,30.1
,60-69세,13.9,17.9,17.2,14.0,15.4,11.7,11.8,12.6,11.9,13.8,16.4,16.8,18.1,21.6,21.2,33.6,29.1,26.1,30.7,35.6,48.7,51.6,54.6,47.0,47.9,47.2,51.8,52.7,50.1,42.4,40.7,37.5,36.9,34.6,30.2,32.9,33.7,30.1,28.4
,70-79세,15.2,15.6,16.7,18.1,16.0,16.2,16.0,13.0,15.8,17.2,20.4,21.1,25.6,30.7,34.1,41.2,39.1,39.5,44.4,60.3,72.4,82.0,80.5,74.2,78.7,72.0,79.0,83.5,84.4,73.1,66.9,57.6,62.5,54.0,48.8,48.9,46.2,38.8,41.8
,80세 이상,-,-,-,-,-,-,-,-,-,-,23.6,26.7,28.5,39.4,39.0,51.0,47.3,51.8,62.8,96.7,114.4,125.5,128.1,114.1,118.2,112.9,127.7,123.3,116.9,104.5,94.7,78.6,83.7,78.1,70.0,69.8,67.4,62.6,61.3
